HEADER,Raster Number, RF Direction,Polarization,Date,Time,
,0,Tx,Horizontal,2019/06/22,01:56:07
BS2,BS1,RT1
-78.2115,-49.0000,0.000000
AO settings empty
7.60000000000E+10,-1.27530350175E+01,-5.00443609984E+00,-9.28660693146E+01,-6.90066420022E+01,-8.89108417478E+01,-7.55553062049E+01,-1.17611361318E+00,+1.55912363112E+02
7.65000000000E+10,-1.35012571229E+01,-2.60368774528E+01,-9.64441302315E+01,+6.10232255559E+01,-9.43741245383E+01,+5.20440994384E+01,-1.21269168010E+00,+1.37705836464E+02
7.70000000000E+10,-1.89019590206E+01,-5.71495536144E+01,-8.27302587381E+01,+8.78017063537E+01,-8.32414663537E+01,+9.25876684929E+01,-1.14205596013E+00,+1.18842520381E+02
7.75000000000E+10,-2.37118802030E+01,-1.36889534970E+02,-8.34078508906E+01,+1.54923347075E+02,-8.20930873754E+01,+1.66953201312E+02,-8.31751987981E-01,+9.78786201083E+01
7.80000000000E+10,-2.91883520461E+01,+9.64078775451E+01,-8.40834773574E+01,-1.15147715275E+02,-8.39786985602E+01,-1.09799612735E+02,-6.18391096525E-01,+8.29642278805E+01
7.85000000000E+10,-1.62901635368E+01,+3.18250158572E+01,-8.49347050190E+01,-7.78093684555E+01,-8.44028947310E+01,-7.10116641799E+01,-7.81845650765E-01,+6.08437582229E+01
7.90000000000E+10,-1.32951922920E+01,+2.13814773629E+01,-8.57745974133E+01,+5.89879342249E+00,-8.53116226005E+01,+1.05787695449E+01,-5.76062033808E-01,+4.73226792760E+01
7.95000000000E+10,-1.29574625440E+01,+1.13821430089E+00,-8.39465060730E+01,+1.03418534102E+02,-8.29413943001E+01,+1.08713204888E+02,-7.50361425040E-01,+2.18463383258E+01
8.00000000000E+10,-1.21927294532E+01,-1.90769505220E+01,-9.08815204027E+01,+1.54019065481E+02,-8.81727661932E+01,+1.51527509557E+02,-6.33886400856E-01,+8.81531697866E+00
8.05000000000E+10,-1.34006086953E+01,-6.29622688536E+01,-8.86692470768E+01,-9.40121169739E+01,-9.37174952961E+01,-3.34862851786E+01,-1.36512455037E+00,-2.77246458047E+01
8.10000000000E+10,-2.18478924413E+01,+1.57035129183E+02,-8.62305672870E+01,-1.07385953320E+02,-8.75566452719E+01,-9.79610558355E+00,+7.56758008259E-01,-1.68323217604E+02
HEADER,Raster Number, RF Direction,Polarization,Date,Time,
,1,Tx,Horizontal,2019/06/22,01:56:09
BS2,BS1,RT1
-76.3269,-49.0000,0.000000
AO settings empty
7.60000000000E+10,-1.27469005660E+01,-5.35745332192E+00,-8.57857186385E+01,-3.08189133236E-01,-8.43243143967E+01,+3.65589484783E-01,-1.17717486662E+00,+1.55917379213E+02
7.65000000000E+10,-1.35246799637E+01,-2.61232468706E+01,-8.68147557759E+01,+5.34931567388E+01,-8.56294761170E+01,+5.28434745945E+01,-1.21308384350E+00,+1.37710235615E+02
7.70000000000E+10,-1.89062140861E+01,-5.83521493094E+01,-8.40197820713E+01,+1.19152208839E+02,-8.39288297755E+01,+1.19983954846E+02,-1.14244582590E+00,+1.18840699104E+02
7.75000000000E+10,-2.36937860781E+01,-1.38286654254E+02,-8.97337021006E+01,+1.70424137253E+02,-8.90446119243E+01,-1.69978307673E+02,-8.32202891869E-01,+9.78675374189E+01
7.80000000000E+10,-2.88752581308E+01,+9.67486078549E+01,-8.83562672122E+01,-2.63479433869E+01,-8.86643413738E+01,-2.18449129661E+01,-6.19492582816E-01,+8.29529024664E+01
7.85000000000E+10,-1.61471360634E+01,+3.18080795686E+01,-8.76264019766E+01,-7.91698076087E+00,-8.71592785885E+01,-3.53867716455E+00,-7.82901578382E-01,+6.08327631899E+01
7.90000000000E+10,-1.32264303014E+01,+2.11702561150E+01,-9.53613223944E+01,+8.80729948711E+01,-9.40360817366E+01,+1.04046308571E+02,-5.78109881949E-01,+4.73182517736E+01
7.95000000000E+10,-1.28808460717E+01,+4.65691844701E-01,-8.77996790407E+01,-1.78842341070E+02,-8.71243985571E+01,-1.70340837374E+02,-7.51847918586E-01,+2.18478565705E+01
8.00000000000E+10,-1.22172908065E+01,-1.95438849021E+01,-9.95944648865E+01,-9.82190147922E+01,-9.53665246745E+01,-1.31875289941E+02,-6.35139880288E-01,+8.83603725896E+00
8.05000000000E+10,-1.34274448518E+01,-6.33875270450E+01,-9.17187614578E+01,-3.81730190547E+01,-9.68551073262E+01,+3.17793808168E+01,-1.36850118626E+00,-2.77019217332E+01
8.10000000000E+10,-2.19587123824E+01,+1.56815661961E+02,-8.91959634590E+01,-6.91292397876E+01,-8.94799287493E+01,+3.38525386154E+01,+7.52747524937E-01,-1.68306106432E+02
ENDOFFILE
